type,tags,title,weight,detail,item#
bug,"system,integration agent",Added detailed logging for failures in the Integration Agent to help identify and troubleshoot connection issues more effectively.,,,341746
enhancement,"api,integration,security",The API Key authentication process has been overhauled to simplify integration with external systems. You can now use standard Basic Authentication headers with API keys to access Execute APIs without needing to manage session IDs manually. ,,,347845
feature,"ui,system","The new Document Links Graph Visualization lets you explore document relationships in an interactive network diagram, making it easier to understand hierarchies and associations at a glance. Colored nodes represent different primary document types, with a clear legend and a gold border highlighting the current document. You can click any node to jump directly to that document, while solid and dashed lines visually distinguish parent-child and association links.",,graph,346630
bug,"formula,system",Fixed an error that occurred when editing integer fields from the browse page if those fields were used in calculated fields.,,,347917
enhancement,"plugins","If you've ever been driven to the point of madness because you open a plugin only to realize you aren't in edit mode, this fix is for you. The plugin content is no longer a pop-up modal but now appears in a sleek new Plugin Details tab, making editing more intuitive and less frustrating. ",,,347741
feature,"integration,system","Trying to explain how Execute tables are related? You can now use the ERD diagram generator tool to visually map the relationships between Execute tables in DataHub or your data warehouse. Simply select your Document Types, and the tool will create a clear Entity Relationship Diagram to help you navigate complex schemas with ease.  Find on the special page (`/ui/tools?erd`)",,erd,347425
bug,"system","Fixed a frustrating issue where you couldn't build custom tab fields that pulled fields from a User, Partner, or Account document.",,,347507
feature,"formula","Introducing AI-powered formula generation.  Note this feature is off by default, and requires an OpenAI / Azure AI API key to enable.  If you are interested in testing this feature, please get in touch with Quorum Support.",,formula,346164
enhancement,"ui,system,admin",We've added special header colors for TEST and DEV environments to help you quickly identify which environment you're working in. ,,,347398
bug,"integration agent","Fixed an issue where invalid XML in the agent's databaseConnections.config file would fail silently, ensuring users are now properly alerted to configuration errors to prevent unnoticed connection problems.",,,347232
enhancement,"opsched","Smashleft Mode lets you quickly move activities as far left as possible within an OpSched row, eliminating whitespace without overlapping other activities or blackout periods. In addition, we've added keyboard shortcuts to switch between commonly used scheduling tools - just hover over a tool to see the shortcut used - For example, pressing SPACE while looking at a schedule activities the new shift left feature!).",,,258790
bug,"ui",Fixed a typo in the Bulk Update modal.,,,346923
enhancement,"admin","A Most Recently Used (MRU) list has been added to configuration screens, making it easier and faster for users to access their recently edited settings without hunting through the big list.",,mru,347652
